Energy consumption time period,Usage (kilowatt-hours),Cost (Canadian Dollar)
2020/04/24 09:00 to 2020/04/24 10:00,0.78,0.08
2020/04/24 10:00 to 2020/04/24 11:00,0.74,0.07
2020/04/24 11:00 to 2020/04/24 12:00,0.87,0.09
2020/04/24 12:00 to 2020/04/24 13:00,0.93,0.09
2020/04/24 13:00 to 2020/04/24 14:00,1.05,0.11
2020/04/24 14:00 to 2020/04/24 15:00,1.38,0.14
2020/04/24 15:00 to 2020/04/24 16:00,1.18,0.12
2020/04/24 16:00 to 2020/04/24 17:00,1.46,0.15
2020/04/24 17:00 to 2020/04/24 18:00,1.5,0.15
2020/04/24 18:00 to 2020/04/24 19:00,3.54,0.36
2020/04/24 19:00 to 2020/04/24 20:00,3.38,0.34
2020/04/24 20:00 to 2020/04/24 21:00,2.61,0.26
2020/04/24 21:00 to 2020/04/24 22:00,1.64,0.17
2020/04/24 22:00 to 2020/04/24 23:00,5.95,0.6
2020/04/24 23:00 to 2020/04/25 00:00,1.75,0.18
2020/04/25 00:00 to 2020/04/25 01:00,1.77,0.12
2020/04/25 01:00 to 2020/04/25 02:00,1.75,0.11
2020/04/25 02:00 to 2020/04/25 03:00,1.47,0.1
2020/04/25 03:00 to 2020/04/25 04:00,1.97,0.13
2020/04/25 04:00 to 2020/04/25 05:00,1.74,0.11
2020/04/25 05:00 to 2020/04/25 06:00,1.01,0.07
2020/04/25 06:00 to 2020/04/25 07:00,0.75,0.05
2020/04/25 07:00 to 2020/04/25 08:00,0.74,0.05
2020/04/25 08:00 to 2020/04/25 09:00,0.82,0.05
2020/04/25 09:00 to 2020/04/25 10:00,1.1,0.07
2020/04/25 10:00 to 2020/04/25 11:00,0.73,0.05
2020/04/25 11:00 to 2020/04/25 12:00,0.86,0.06
2020/04/25 12:00 to 2020/04/25 13:00,2.04,0.13
2020/04/25 13:00 to 2020/04/25 14:00,2.11,0.14
2020/04/25 14:00 to 2020/04/25 15:00,1.5,0.1
2020/04/25 15:00 to 2020/04/25 16:00,2.18,0.14
2020/04/25 16:00 to 2020/04/25 17:00,2.72,0.18
2020/04/25 17:00 to 2020/04/25 18:00,2.82,0.18
2020/04/25 18:00 to 2020/04/25 19:00,2.34,0.15
2020/04/25 19:00 to 2020/04/25 20:00,2.11,0.14
2020/04/25 20:00 to 2020/04/25 21:00,4.34,0.28
2020/04/25 21:00 to 2020/04/25 22:00,1.36,0.09
2020/04/25 22:00 to 2020/04/25 23:00,5.01,0.33
2020/04/25 23:00 to 2020/04/26 00:00,1.79,0.12
2020/04/26 00:00 to 2020/04/26 01:00,2.03,0.13
2020/04/26 01:00 to 2020/04/26 02:00,1.73,0.11
2020/04/26 02:00 to 2020/04/26 03:00,1.2,0.08
2020/04/26 03:00 to 2020/04/26 04:00,1.91,0.12
2020/04/26 04:00 to 2020/04/26 05:00,1.33,0.09
2020/04/26 05:00 to 2020/04/26 06:00,0.77,0.05
2020/04/26 06:00 to 2020/04/26 07:00,0.89,0.06
2020/04/26 07:00 to 2020/04/26 08:00,1.02,0.07
2020/04/26 08:00 to 2020/04/26 09:00,0.72,0.05
2020/04/26 09:00 to 2020/04/26 10:00,0.76,0.05
2020/04/26 10:00 to 2020/04/26 11:00,0.81,0.05
2020/04/26 11:00 to 2020/04/26 12:00,0.89,0.06
2020/04/26 12:00 to 2020/04/26 13:00,1.06,0.07
2020/04/26 13:00 to 2020/04/26 14:00,0.96,0.06
2020/04/26 14:00 to 2020/04/26 15:00,1.45,0.09
2020/04/26 15:00 to 2020/04/26 16:00,1.7,0.11
2020/04/26 16:00 to 2020/04/26 17:00,1.48,0.1
2020/04/26 17:00 to 2020/04/26 18:00,3.5,0.23
2020/04/26 18:00 to 2020/04/26 19:00,3.49,0.23
2020/04/26 19:00 to 2020/04/26 20:00,2.65,0.17
2020/04/26 20:00 to 2020/04/26 21:00,1.51,0.1
2020/04/26 21:00 to 2020/04/26 22:00,1.62,0.11
2020/04/26 22:00 to 2020/04/26 23:00,5.47,0.36
2020/04/26 23:00 to 2020/04/27 00:00,1.82,0.12
2020/04/27 00:00 to 2020/04/27 01:00,1.67,0.17
2020/04/27 01:00 to 2020/04/27 02:00,1.46,0.15
2020/04/27 02:00 to 2020/04/27 03:00,0.83,0.08
2020/04/27 03:00 to 2020/04/27 04:00,1.96,0.2
2020/04/27 04:00 to 2020/04/27 05:00,1.25,0.13
2020/04/27 05:00 to 2020/04/27 06:00,0.98,0.1
2020/04/27 06:00 to 2020/04/27 07:00,0.83,0.08
2020/04/27 07:00 to 2020/04/27 08:00,0.83,0.08
2020/04/27 08:00 to 2020/04/27 09:00,0.89,0.09
2020/04/27 09:00 to 2020/04/27 10:00,0.84,0.08
2020/04/27 10:00 to 2020/04/27 11:00,0.95,0.1
2020/04/27 11:00 to 2020/04/27 12:00,2.28,0.23
2020/04/27 12:00 to 2020/04/27 13:00,2.03,0.21
2020/04/27 13:00 to 2020/04/27 14:00,1.81,0.18
2020/04/27 14:00 to 2020/04/27 15:00,2.35,0.24
2020/04/27 15:00 to 2020/04/27 16:00,2.31,0.23
2020/04/27 16:00 to 2020/04/27 17:00,2.1,0.21
2020/04/27 17:00 to 2020/04/27 18:00,2.55,0.26
2020/04/27 18:00 to 2020/04/27 19:00,2.58,0.26
2020/04/27 19:00 to 2020/04/27 20:00,1.84,0.19
2020/04/27 20:00 to 2020/04/27 21:00,1.74,0.18
2020/04/27 21:00 to 2020/04/27 22:00,1.56,0.16
2020/04/27 22:00 to 2020/04/27 23:00,5.68,0.57
2020/04/27 23:00 to 2020/04/28 00:00,2.07,0.21
2020/04/28 00:00 to 2020/04/28 01:00,1.91,0.19
2020/04/28 01:00 to 2020/04/28 02:00,0.88,0.09
2020/04/28 02:00 to 2020/04/28 03:00,0.92,0.09
2020/04/28 03:00 to 2020/04/28 04:00,0.69,0.07
2020/04/28 04:00 to 2020/04/28 05:00,1.58,0.16
2020/04/28 05:00 to 2020/04/28 06:00,1,0.1
2020/04/28 06:00 to 2020/04/28 07:00,0.95,0.1
2020/04/28 07:00 to 2020/04/28 08:00,0.78,0.08
2020/04/28 08:00 to 2020/04/28 09:00,1.11,0.11
2020/04/28 09:00 to 2020/04/28 10:00,0.94,0.09
2020/04/28 10:00 to 2020/04/28 11:00,0.96,0.1
2020/04/28 11:00 to 2020/04/28 12:00,0.96,0.1
2020/04/28 12:00 to 2020/04/28 13:00,2.07,0.21
2020/04/28 13:00 to 2020/04/28 14:00,1.83,0.18
2020/04/28 14:00 to 2020/04/28 15:00,1.06,0.11
2020/04/28 15:00 to 2020/04/28 16:00,2.08,0.21
2020/04/28 16:00 to 2020/04/28 17:00,2.28,0.23
2020/04/28 17:00 to 2020/04/28 18:00,2.32,0.23
2020/04/28 18:00 to 2020/04/28 19:00,2.55,0.26
2020/04/28 19:00 to 2020/04/28 20:00,2.16,0.22
2020/04/28 20:00 to 2020/04/28 21:00,1.47,0.15
2020/04/28 21:00 to 2020/04/28 22:00,1.69,0.17
2020/04/28 22:00 to 2020/04/28 23:00,6.09,0.62
2020/04/28 23:00 to 2020/04/29 00:00,1.72,0.17
2020/04/29 00:00 to 2020/04/29 01:00,1.72,0.17
2020/04/29 01:00 to 2020/04/29 02:00,2.28,0.23
2020/04/29 02:00 to 2020/04/29 03:00,1.2,0.12
2020/04/29 03:00 to 2020/04/29 04:00,1.01,0.1
2020/04/29 04:00 to 2020/04/29 05:00,1.16,0.12
2020/04/29 05:00 to 2020/04/29 06:00,0.82,0.08
2020/04/29 06:00 to 2020/04/29 07:00,0.78,0.08
2020/04/29 07:00 to 2020/04/29 08:00,0.87,0.09
2020/04/29 08:00 to 2020/04/29 09:00,1.08,0.11
2020/04/29 09:00 to 2020/04/29 10:00,0.78,0.08
2020/04/29 10:00 to 2020/04/29 11:00,0.82,0.08
2020/04/29 11:00 to 2020/04/29 12:00,0.91,0.09
2020/04/29 12:00 to 2020/04/29 13:00,1.22,0.12
2020/04/29 13:00 to 2020/04/29 14:00,1.38,0.14
2020/04/29 14:00 to 2020/04/29 15:00,1.04,0.11
2020/04/29 15:00 to 2020/04/29 16:00,1.39,0.14
2020/04/29 16:00 to 2020/04/29 17:00,1.53,0.15
2020/04/29 17:00 to 2020/04/29 18:00,4.64,0.47
2020/04/29 18:00 to 2020/04/29 19:00,4.9,0.49
2020/04/29 19:00 to 2020/04/29 20:00,1.76,0.18
2020/04/29 20:00 to 2020/04/29 21:00,1.75,0.18
2020/04/29 21:00 to 2020/04/29 22:00,1.51,0.15
2020/04/29 22:00 to 2020/04/29 23:00,6.23,0.63
2020/04/29 23:00 to 2020/04/30 00:00,6.35,0.64
2020/04/30 00:00 to 2020/04/30 01:00,1.98,0.2
2020/04/30 01:00 to 2020/04/30 02:00,1.18,0.12
2020/04/30 02:00 to 2020/04/30 03:00,1.56,0.16
2020/04/30 03:00 to 2020/04/30 04:00,0.83,0.08
2020/04/30 04:00 to 2020/04/30 05:00,1.11,0.11
2020/04/30 05:00 to 2020/04/30 06:00,0.88,0.09
2020/04/30 06:00 to 2020/04/30 07:00,0.78,0.08
2020/04/30 07:00 to 2020/04/30 08:00,0.75,0.08
2020/04/30 08:00 to 2020/04/30 09:00,1.09,0.11
2020/04/30 09:00 to 2020/04/30 10:00,0.93,0.09
2020/04/30 10:00 to 2020/04/30 11:00,0.79,0.08
2020/04/30 11:00 to 2020/04/30 12:00,0.78,0.08
2020/04/30 12:00 to 2020/04/30 13:00,1.11,0.11
2020/04/30 13:00 to 2020/04/30 14:00,1.27,0.13
2020/04/30 14:00 to 2020/04/30 15:00,1.42,0.14
2020/04/30 15:00 to 2020/04/30 16:00,1.72,0.17
2020/04/30 16:00 to 2020/04/30 17:00,1.74,0.18
2020/04/30 17:00 to 2020/04/30 18:00,4.2,0.42
2020/04/30 18:00 to 2020/04/30 19:00,2.08,0.21
2020/04/30 19:00 to 2020/04/30 20:00,1.58,0.16
2020/04/30 20:00 to 2020/04/30 21:00,2.76,0.28
2020/04/30 21:00 to 2020/04/30 22:00,2.86,0.29
2020/04/30 22:00 to 2020/04/30 23:00,6.87,0.69
2020/04/30 23:00 to 2020/05/01 00:00,2.89,0.29
2020/05/01 00:00 to 2020/05/01 01:00,3.01,0.3
2020/05/01 01:00 to 2020/05/01 02:00,1.46,0.15
2020/05/01 02:00 to 2020/05/01 03:00,1.74,0.18
2020/05/01 03:00 to 2020/05/01 04:00,0.82,0.08
2020/05/01 04:00 to 2020/05/01 05:00,1.6,0.16
2020/05/01 05:00 to 2020/05/01 06:00,0.93,0.09
2020/05/01 06:00 to 2020/05/01 07:00,0.83,0.08
2020/05/01 07:00 to 2020/05/01 08:00,0.8,0.08
2020/05/01 08:00 to 2020/05/01 09:00,0.88,0.09
2020/05/01 09:00 to 2020/05/01 10:00,0.83,0.08
2020/05/01 10:00 to 2020/05/01 11:00,1.03,0.1
2020/05/01 11:00 to 2020/05/01 12:00,0.85,0.09
2020/05/01 12:00 to 2020/05/01 13:00,1,0.1
2020/05/01 13:00 to 2020/05/01 14:00,1.18,0.12
2020/05/01 14:00 to 2020/05/01 15:00,1.56,0.16
2020/05/01 15:00 to 2020/05/01 16:00,1.75,0.18
2020/05/01 16:00 to 2020/05/01 17:00,1.69,0.17
2020/05/01 17:00 to 2020/05/01 18:00,1.24,0.13
2020/05/01 18:00 to 2020/05/01 19:00,2.25,0.23
2020/05/01 19:00 to 2020/05/01 20:00,2.53,0.26
2020/05/01 20:00 to 2020/05/01 21:00,1.93,0.19
2020/05/01 21:00 to 2020/05/01 22:00,1.61,0.16
2020/05/01 22:00 to 2020/05/01 23:00,5.71,0.58
2020/05/01 23:00 to 2020/05/02 00:00,1.72,0.17
2020/05/02 00:00 to 2020/05/02 01:00,1.93,0.13
2020/05/02 01:00 to 2020/05/02 02:00,1.92,0.12
2020/05/02 02:00 to 2020/05/02 03:00,2.13,0.14
2020/05/02 03:00 to 2020/05/02 04:00,0.99,0.06
2020/05/02 04:00 to 2020/05/02 05:00,1.35,0.09
2020/05/02 05:00 to 2020/05/02 06:00,1.07,0.07
2020/05/02 06:00 to 2020/05/02 07:00,0.93,0.06
2020/05/02 07:00 to 2020/05/02 08:00,0.97,0.06
2020/05/02 08:00 to 2020/05/02 09:00,0.92,0.06
2020/05/02 09:00 to 2020/05/02 10:00,1.04,0.07
2020/05/02 10:00 to 2020/05/02 11:00,0.92,0.06
2020/05/02 11:00 to 2020/05/02 12:00,0.98,0.06
2020/05/02 12:00 to 2020/05/02 13:00,0.95,0.06
2020/05/02 13:00 to 2020/05/02 14:00,1.19,0.08
2020/05/02 14:00 to 2020/05/02 15:00,1.37,0.09
2020/05/02 15:00 to 2020/05/02 16:00,1.68,0.11
2020/05/02 16:00 to 2020/05/02 17:00,1.48,0.1
2020/05/02 17:00 to 2020/05/02 18:00,4.7,0.31
2020/05/02 18:00 to 2020/05/02 19:00,3.16,0.21
2020/05/02 19:00 to 2020/05/02 20:00,1.85,0.12
2020/05/02 20:00 to 2020/05/02 21:00,1.62,0.11
2020/05/02 21:00 to 2020/05/02 22:00,1.6,0.1
2020/05/02 22:00 to 2020/05/02 23:00,5.52,0.36
2020/05/02 23:00 to 2020/05/03 00:00,1.26,0.08
2020/05/03 00:00 to 2020/05/03 01:00,1.65,0.11
2020/05/03 01:00 to 2020/05/03 02:00,1.89,0.12
2020/05/03 02:00 to 2020/05/03 03:00,1.92,0.12
2020/05/03 03:00 to 2020/05/03 04:00,1.38,0.09
2020/05/03 04:00 to 2020/05/03 05:00,1.07,0.07
2020/05/03 05:00 to 2020/05/03 06:00,0.89,0.06
2020/05/03 06:00 to 2020/05/03 07:00,0.88,0.06
2020/05/03 07:00 to 2020/05/03 08:00,0.69,0.04
2020/05/03 08:00 to 2020/05/03 09:00,0.79,0.05
2020/05/03 09:00 to 2020/05/03 10:00,1.92,0.12
2020/05/03 10:00 to 2020/05/03 11:00,2.53,0.16
2020/05/03 11:00 to 2020/05/03 12:00,1.94,0.13
2020/05/03 12:00 to 2020/05/03 13:00,2.02,0.13
2020/05/03 13:00 to 2020/05/03 14:00,2.5,0.16
2020/05/03 14:00 to 2020/05/03 15:00,2.7,0.18
2020/05/03 15:00 to 2020/05/03 16:00,2.43,0.16
2020/05/03 16:00 to 2020/05/03 17:00,2.42,0.16
2020/05/03 17:00 to 2020/05/03 18:00,4.69,0.3
2020/05/03 18:00 to 2020/05/03 19:00,3.61,0.23
2020/05/03 19:00 to 2020/05/03 20:00,2.85,0.19
2020/05/03 20:00 to 2020/05/03 21:00,4.97,0.32
2020/05/03 21:00 to 2020/05/03 22:00,3.12,0.2
2020/05/03 22:00 to 2020/05/03 23:00,7.14,0.46
2020/05/03 23:00 to 2020/05/04 00:00,2.07,0.13
2020/05/04 00:00 to 2020/05/04 01:00,1.97,0.2
2020/05/04 01:00 to 2020/05/04 02:00,1.4,0.14
2020/05/04 02:00 to 2020/05/04 03:00,1.19,0.12
2020/05/04 03:00 to 2020/05/04 04:00,1.11,0.11
2020/05/04 04:00 to 2020/05/04 05:00,1.24,0.13
2020/05/04 05:00 to 2020/05/04 06:00,1.07,0.11
2020/05/04 06:00 to 2020/05/04 07:00,0.95,0.1
2020/05/04 07:00 to 2020/05/04 08:00,0.88,0.09
2020/05/04 08:00 to 2020/05/04 09:00,1.18,0.12
2020/05/04 09:00 to 2020/05/04 10:00,0.96,0.1
2020/05/04 10:00 to 2020/05/04 11:00,1.01,0.1
2020/05/04 11:00 to 2020/05/04 12:00,0.95,0.1
2020/05/04 12:00 to 2020/05/04 13:00,1.33,0.13
2020/05/04 13:00 to 2020/05/04 14:00,1.39,0.14
2020/05/04 14:00 to 2020/05/04 15:00,1.46,0.15
2020/05/04 15:00 to 2020/05/04 16:00,1.61,0.16
2020/05/04 16:00 to 2020/05/04 17:00,1.68,0.17
2020/05/04 17:00 to 2020/05/04 18:00,1.73,0.17
2020/05/04 18:00 to 2020/05/04 19:00,2.35,0.24
2020/05/04 19:00 to 2020/05/04 20:00,5.29,0.53
2020/05/04 20:00 to 2020/05/04 21:00,1.84,0.19
2020/05/04 21:00 to 2020/05/04 22:00,1.8,0.18
2020/05/04 22:00 to 2020/05/04 23:00,6.2,0.63
2020/05/04 23:00 to 2020/05/05 00:00,2.04,0.21
2020/05/05 00:00 to 2020/05/05 01:00,2.5,0.25
2020/05/05 01:00 to 2020/05/05 02:00,1.12,0.11
2020/05/05 02:00 to 2020/05/05 03:00,1.22,0.12
2020/05/05 03:00 to 2020/05/05 04:00,0.98,0.1
2020/05/05 04:00 to 2020/05/05 05:00,1.19,0.12
2020/05/05 05:00 to 2020/05/05 06:00,0.88,0.09
2020/05/05 06:00 to 2020/05/05 07:00,0.85,0.09
2020/05/05 07:00 to 2020/05/05 08:00,0.78,0.08
2020/05/05 08:00 to 2020/05/05 09:00,0.93,0.09
2020/05/05 09:00 to 2020/05/05 10:00,0.95,0.1
2020/05/05 10:00 to 2020/05/05 11:00,0.77,0.08
2020/05/05 11:00 to 2020/05/05 12:00,1.24,0.13
2020/05/05 12:00 to 2020/05/05 13:00,1.38,0.14
2020/05/05 13:00 to 2020/05/05 14:00,1.38,0.14
2020/05/05 14:00 to 2020/05/05 15:00,1.32,0.13
2020/05/05 15:00 to 2020/05/05 16:00,1.27,0.13
2020/05/05 16:00 to 2020/05/05 17:00,1.44,0.15
2020/05/05 17:00 to 2020/05/05 18:00,2,0.2
2020/05/05 18:00 to 2020/05/05 19:00,3.2,0.32
2020/05/05 19:00 to 2020/05/05 20:00,2.97,0.3
2020/05/05 20:00 to 2020/05/05 21:00,2.56,0.26
2020/05/05 21:00 to 2020/05/05 22:00,1.88,0.19
2020/05/05 22:00 to 2020/05/05 23:00,5.87,0.59
2020/05/05 23:00 to 2020/05/06 00:00,1.89,0.19
2020/05/06 00:00 to 2020/05/06 01:00,1.83,0.18
2020/05/06 01:00 to 2020/05/06 02:00,1.61,0.16
2020/05/06 02:00 to 2020/05/06 03:00,1.77,0.18
2020/05/06 03:00 to 2020/05/06 04:00,0.84,0.08
2020/05/06 04:00 to 2020/05/06 05:00,1.07,0.11
2020/05/06 05:00 to 2020/05/06 06:00,0.75,0.08
2020/05/06 06:00 to 2020/05/06 07:00,0.83,0.08
2020/05/06 07:00 to 2020/05/06 08:00,0.8,0.08
2020/05/06 08:00 to 2020/05/06 09:00,0.84,0.08
2020/05/06 09:00 to 2020/05/06 10:00,0.65,0.07
2020/05/06 10:00 to 2020/05/06 11:00,0.83,0.08
2020/05/06 11:00 to 2020/05/06 12:00,0.77,0.08
2020/05/06 12:00 to 2020/05/06 13:00,1.98,0.2
2020/05/06 13:00 to 2020/05/06 14:00,1.75,0.18
2020/05/06 14:00 to 2020/05/06 15:00,1.81,0.18
2020/05/06 15:00 to 2020/05/06 16:00,2.28,0.23
2020/05/06 16:00 to 2020/05/06 17:00,2.29,0.23
2020/05/06 17:00 to 2020/05/06 18:00,2.17,0.22
2020/05/06 18:00 to 2020/05/06 19:00,3.26,0.33
2020/05/06 19:00 to 2020/05/06 20:00,2.29,0.23
2020/05/06 20:00 to 2020/05/06 21:00,2.6,0.26
2020/05/06 21:00 to 2020/05/06 22:00,1.82,0.18
2020/05/06 22:00 to 2020/05/06 23:00,6.3,0.64
2020/05/06 23:00 to 2020/05/07 00:00,1.84,0.19
2020/05/07 00:00 to 2020/05/07 01:00,1.76,0.18
2020/05/07 01:00 to 2020/05/07 02:00,1.51,0.15
2020/05/07 02:00 to 2020/05/07 03:00,1.79,0.18
2020/05/07 03:00 to 2020/05/07 04:00,0.99,0.1
2020/05/07 04:00 to 2020/05/07 05:00,1.1,0.11
2020/05/07 05:00 to 2020/05/07 06:00,0.8,0.08
2020/05/07 06:00 to 2020/05/07 07:00,0.7,0.07
2020/05/07 07:00 to 2020/05/07 08:00,1,0.1
2020/05/07 08:00 to 2020/05/07 09:00,0.87,0.09
2020/05/07 09:00 to 2020/05/07 10:00,0.69,0.07
2020/05/07 10:00 to 2020/05/07 11:00,0.63,0.06
2020/05/07 11:00 to 2020/05/07 12:00,0.92,0.09
2020/05/07 12:00 to 2020/05/07 13:00,0.78,0.08
2020/05/07 13:00 to 2020/05/07 14:00,0.92,0.09
2020/05/07 14:00 to 2020/05/07 15:00,1.62,0.16
2020/05/07 15:00 to 2020/05/07 16:00,2,0.2
2020/05/07 16:00 to 2020/05/07 17:00,1.85,0.19
2020/05/07 17:00 to 2020/05/07 18:00,1.95,0.2
2020/05/07 18:00 to 2020/05/07 19:00,2.6,0.26
2020/05/07 19:00 to 2020/05/07 20:00,1.88,0.19
2020/05/07 20:00 to 2020/05/07 21:00,1.53,0.15
2020/05/07 21:00 to 2020/05/07 22:00,1.99,0.2
2020/05/07 22:00 to 2020/05/07 23:00,5.35,0.54
2020/05/07 23:00 to 2020/05/08 00:00,2.08,0.21
2020/05/08 00:00 to 2020/05/08 01:00,1.98,0.2
2020/05/08 01:00 to 2020/05/08 02:00,0.95,0.1
2020/05/08 02:00 to 2020/05/08 03:00,1.62,0.16
2020/05/08 03:00 to 2020/05/08 04:00,0.63,0.06
2020/05/08 04:00 to 2020/05/08 05:00,1.29,0.13
2020/05/08 05:00 to 2020/05/08 06:00,0.83,0.08
2020/05/08 06:00 to 2020/05/08 07:00,0.71,0.07
2020/05/08 07:00 to 2020/05/08 08:00,0.91,0.09
2020/05/08 08:00 to 2020/05/08 09:00,0.98,0.1
2020/05/08 09:00 to 2020/05/08 10:00,0.87,0.09
2020/05/08 10:00 to 2020/05/08 11:00,0.77,0.08
2020/05/08 11:00 to 2020/05/08 12:00,0.74,0.07
2020/05/08 12:00 to 2020/05/08 13:00,1.11,0.11
2020/05/08 13:00 to 2020/05/08 14:00,1.28,0.13
2020/05/08 14:00 to 2020/05/08 15:00,1.47,0.15
2020/05/08 15:00 to 2020/05/08 16:00,1.31,0.13
2020/05/08 16:00 to 2020/05/08 17:00,2.99,0.3
2020/05/08 17:00 to 2020/05/08 18:00,3.71,0.37
2020/05/08 18:00 to 2020/05/08 19:00,2.47,0.25
2020/05/08 19:00 to 2020/05/08 20:00,1.82,0.18
2020/05/08 20:00 to 2020/05/08 21:00,1.68,0.17
2020/05/08 21:00 to 2020/05/08 22:00,1.79,0.18
2020/05/08 22:00 to 2020/05/08 23:00,5.63,0.57
2020/05/08 23:00 to 2020/05/09 00:00,1.88,0.19
2020/05/09 00:00 to 2020/05/09 01:00,4.68,0.3
2020/05/09 01:00 to 2020/05/09 02:00,4.33,0.28
2020/05/09 02:00 to 2020/05/09 03:00,4.47,0.29
2020/05/09 03:00 to 2020/05/09 04:00,1.72,0.11
2020/05/09 04:00 to 2020/05/09 05:00,2.21,0.14
2020/05/09 05:00 to 2020/05/09 06:00,1.04,0.07
2020/05/09 06:00 to 2020/05/09 07:00,0.83,0.05
2020/05/09 07:00 to 2020/05/09 08:00,0.86,0.06
2020/05/09 08:00 to 2020/05/09 09:00,1.11,0.07
2020/05/09 09:00 to 2020/05/09 10:00,0.9,0.06
2020/05/09 10:00 to 2020/05/09 11:00,1.01,0.07
2020/05/09 11:00 to 2020/05/09 12:00,0.9,0.06
2020/05/09 12:00 to 2020/05/09 13:00,0.79,0.05
2020/05/09 13:00 to 2020/05/09 14:00,0.74,0.05
2020/05/09 14:00 to 2020/05/09 15:00,1.07,0.07
2020/05/09 15:00 to 2020/05/09 16:00,2.35,0.15
2020/05/09 16:00 to 2020/05/09 17:00,1.58,0.1
2020/05/09 17:00 to 2020/05/09 18:00,1.67,0.11
2020/05/09 18:00 to 2020/05/09 19:00,1.69,0.11
2020/05/09 19:00 to 2020/05/09 20:00,1.39,0.09
2020/05/09 20:00 to 2020/05/09 21:00,1.42,0.09
2020/05/09 21:00 to 2020/05/09 22:00,1.78,0.12
2020/05/09 22:00 to 2020/05/09 23:00,5.93,0.39
2020/05/09 23:00 to 2020/05/10 00:00,1.78,0.12
2020/05/10 00:00 to 2020/05/10 01:00,1.89,0.12
2020/05/10 01:00 to 2020/05/10 02:00,2.44,0.16
2020/05/10 02:00 to 2020/05/10 03:00,2.83,0.18
2020/05/10 03:00 to 2020/05/10 04:00,1.75,0.11
2020/05/10 04:00 to 2020/05/10 05:00,0.98,0.06
2020/05/10 05:00 to 2020/05/10 06:00,0.88,0.06
2020/05/10 06:00 to 2020/05/10 07:00,0.92,0.06
2020/05/10 07:00 to 2020/05/10 08:00,0.75,0.05
2020/05/10 08:00 to 2020/05/10 09:00,0.73,0.05
2020/05/10 09:00 to 2020/05/10 10:00,0.95,0.06
2020/05/10 10:00 to 2020/05/10 11:00,1.02,0.07
2020/05/10 11:00 to 2020/05/10 12:00,0.77,0.05
2020/05/10 12:00 to 2020/05/10 13:00,0.86,0.06
2020/05/10 13:00 to 2020/05/10 14:00,1.02,0.07
2020/05/10 14:00 to 2020/05/10 15:00,1.05,0.07
2020/05/10 15:00 to 2020/05/10 16:00,0.87,0.06
2020/05/10 16:00 to 2020/05/10 17:00,1.04,0.07
2020/05/10 17:00 to 2020/05/10 18:00,1.38,0.09
2020/05/10 18:00 to 2020/05/10 19:00,1.26,0.08
2020/05/10 19:00 to 2020/05/10 20:00,1.21,0.08
2020/05/10 20:00 to 2020/05/10 21:00,1.46,0.09
2020/05/10 21:00 to 2020/05/10 22:00,1.41,0.09
2020/05/10 22:00 to 2020/05/10 23:00,1.76,0.11
2020/05/10 23:00 to 2020/05/11 00:00,1.94,0.13
2020/05/11 00:00 to 2020/05/11 01:00,1.59,0.16
2020/05/11 01:00 to 2020/05/11 02:00,1.52,0.15
2020/05/11 02:00 to 2020/05/11 03:00,1.16,0.12
2020/05/11 03:00 to 2020/05/11 04:00,0.7,0.07
2020/05/11 04:00 to 2020/05/11 05:00,1.24,0.13
2020/05/11 05:00 to 2020/05/11 06:00,0.79,0.08
2020/05/11 06:00 to 2020/05/11 07:00,0.86,0.09
2020/05/11 07:00 to 2020/05/11 08:00,0.86,0.09
2020/05/11 08:00 to 2020/05/11 09:00,1.06,0.11
2020/05/11 09:00 to 2020/05/11 10:00,1.28,0.13
2020/05/11 10:00 to 2020/05/11 11:00,1.08,0.11
2020/05/11 11:00 to 2020/05/11 12:00,1.16,0.12
2020/05/11 12:00 to 2020/05/11 13:00,1.56,0.16
2020/05/11 13:00 to 2020/05/11 14:00,1.59,0.16
2020/05/11 14:00 to 2020/05/11 15:00,1.72,0.17
2020/05/11 15:00 to 2020/05/11 16:00,1.66,0.17
2020/05/11 16:00 to 2020/05/11 17:00,2.96,0.3
2020/05/11 17:00 to 2020/05/11 18:00,3.45,0.35
2020/05/11 18:00 to 2020/05/11 19:00,2.46,0.25
2020/05/11 19:00 to 2020/05/11 20:00,1.87,0.19
2020/05/11 20:00 to 2020/05/11 21:00,1.69,0.17
2020/05/11 21:00 to 2020/05/11 22:00,1.69,0.17
2020/05/11 22:00 to 2020/05/11 23:00,1.55,0.16
2020/05/11 23:00 to 2020/05/12 00:00,1.66,0.17
2020/05/12 00:00 to 2020/05/12 01:00,1.89,0.19
2020/05/12 01:00 to 2020/05/12 02:00,1.69,0.17
2020/05/12 02:00 to 2020/05/12 03:00,1.06,0.11
2020/05/12 03:00 to 2020/05/12 04:00,0.96,0.1
2020/05/12 04:00 to 2020/05/12 05:00,1.38,0.14
2020/05/12 05:00 to 2020/05/12 06:00,1.07,0.11
2020/05/12 06:00 to 2020/05/12 07:00,1.07,0.11
2020/05/12 07:00 to 2020/05/12 08:00,1.03,0.1
2020/05/12 08:00 to 2020/05/12 09:00,1.08,0.11
2020/05/12 09:00 to 2020/05/12 10:00,0.93,0.09
2020/05/12 10:00 to 2020/05/12 11:00,0.88,0.09
2020/05/12 11:00 to 2020/05/12 12:00,1.12,0.11
2020/05/12 12:00 to 2020/05/12 13:00,1.34,0.14
